p	N1	N2	N3	R
0.10	85	731	816	0.90
0.10	83	891	974	0.91
0.10	82	760	842	0.90
0.10	99	827	926	0.89
0.10	99	722	821	0.88
0.10	99	890	989	0.90
0.10	95	916	1011	0.91
0.10	84	679	763	0.89
0.10	85	755	840	0.90
0.10	80	952	1032	0.92
0.20	98	335	433	0.77
0.20	99	303	402	0.75
0.20	97	440	537	0.82
0.20	99	308	407	0.76
0.20	93	355	448	0.79
0.20	99	354	453	0.78
0.20	99	354	453	0.78
0.20	97	419	516	0.81
0.20	95	342	437	0.78
0.20	99	325	424	0.77
0.30	100	202	302	0.67
0.30	100	168	268	0.63
0.30	97	218	315	0.69
0.30	93	246	339	0.73
0.30	99	196	295	0.66
0.30	100	191	291	0.66
0.30	99	189	288	0.66
0.30	97	262	359	0.73
0.30	96	192	288	0.67
0.40	100	120	220	0.55
0.40	99	138	237	0.58
0.40	100	100	200	0.50
0.40	99	153	252	0.61
0.40	99	164	263	0.62
0.40	100	136	236	0.58
0.40	99	124	223	0.56
0.40	99	128	227	0.56
0.40	87	123	210	0.59
0.50	100	84	184	0.46
0.50	100	93	193	0.48
0.50	98	70	168	0.42
0.50	99	70	169	0.41
0.50	100	104	204	0.51
0.50	100	118	218	0.54
0.50	98	119	217	0.55
0.50	99	71	170	0.42
0.50	100	84	184	0.46
0.60	100	60	160	0.38
0.60	99	57	156	0.37
0.60	100	43	143	0.30
0.60	100	52	152	0.34
0.60	100	56	156	0.36
0.60	100	61	161	0.38
0.60	100	78	178	0.44
0.60	100	60	160	0.38
0.60	100	76	176	0.43
0.60	100	48	148	0.32
0.70	99	36	135	0.27
0.70	100	36	136	0.26
0.70	99	36	135	0.27
0.70	100	32	132	0.24
0.70	100	31	131	0.24
0.70	99	32	131	0.24
0.70	100	39	139	0.28
0.70	100	46	146	0.32
0.70	100	34	134	0.25
0.70	100	53	153	0.35
0.80	99	22	121	0.18
0.80	100	25	125	0.20
0.80	100	14	114	0.12
0.80	100	14	114	0.12
0.80	100	18	118	0.15
0.80	100	21	121	0.17
0.80	100	23	123	0.19
0.80	100	21	121	0.17
0.80	100	29	129	0.22
0.80	100	18	118	0.15
0.90	100	14	114	0.12
0.90	100	16	116	0.14
0.90	100	9	109	0.08
0.90	100	7	107	0.07
0.90	100	11	111	0.10
0.90	100	8	108	0.07
0.90	100	12	112	0.11
0.90	100	9	109	0.08
0.90	100	6	106	0.06
0.90	100	11	111	0.10
